id,slug,title,type,mature,assets,earlyAccess,achievements,tradingCards,appid,tags,releaseDate,developers,publishers,reviews,stats,players,urls
018d937f-465e-7046-979b-9f8c0358dbe4,pathfinder-kingmaker-enhanced-plus-edition,Pathfinder: Kingmaker - Enhanced Plus Edition,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-465e-7046-979b-9f8c0358dbe4/boxart.jpg?t=1720189205', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-465e-7046-979b-9f8c0358dbe4/banner145.jpg?t=1720189205', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-465e-7046-979b-9f8c0358dbe4/banner300.jpg?t=1720189205', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-465e-7046-979b-9f8c0358dbe4/banner400.jpg?t=1720189206', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-465e-7046-979b-9f8c0358dbe4/banner600.jpg?t=1720189207'}",False,True,True,640820,"['RPG', 'Party-Based RPG', 'Fantasy', 'CRPG', 'Isometric']",2018-09-25,"[{'id': 360, 'name': 'Owlcat Games'}]","[{'id': 6009, 'name': 'Deep Silver (PP)'}, {'id': 43, 'name': 'Prime Matter'}, {'id': 7263, 'name': 'MY.GAMES'}, {'id': 90622, 'name': 'Knights Peak'}]","[{'score': 77, 'source': 'Steam', 'count': 25624, 'url': 'https://store.steampowered.com/app/640820/'}]","{'rank': 1442, 'waitlisted': 1968, 'collected': 13032}","{'recent': 959, 'day': 959, 'week': 1104, 'peak': 22533}",{'game': 'https://isthereanydeal.com/game/pathfinder-kingmaker-enhanced-plus-edition/'}
018d937f-0c6a-71f4-8f59-699ecc65acbb,rift,RIFT™,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-0c6a-71f4-8f59-699ecc65acbb/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-0c6a-71f4-8f59-699ecc65acbb/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-0c6a-71f4-8f59-699ecc65acbb/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-0c6a-71f4-8f59-699ecc65acbb/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-0c6a-71f4-8f59-699ecc65acbb/banner600.jpg'}",False,False,True,39120,"['Free to Play', 'MMORPG', 'RPG', 'Fantasy', 'Open World']",2011-03-01,"[{'id': 5654, 'name': 'gamigo US Inc.'}]","[{'id': 5654, 'name': 'gamigo US Inc.'}]","[{'score': 74, 'source': 'Steam', 'count': 10941, 'url': 'https://store.steampowered.com/app/39120/'}]","{'rank': 2926, 'waitlisted': 322, 'collected': 10325}","{'recent': 158, 'day': 158, 'week': 210, 'peak': 776}",{'game': 'https://isthereanydeal.com/game/rift/'}
018d937f-1729-7241-9002-fc1d98cbd266,quake-champions,Quake Champions,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-1729-7241-9002-fc1d98cbd266/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-1729-7241-9002-fc1d98cbd266/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-1729-7241-9002-fc1d98cbd266/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-1729-7241-9002-fc1d98cbd266/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-1729-7241-9002-fc1d98cbd266/banner600.jpg'}",False,True,False,611500,"['Arena Shooter', 'Hero Shooter', 'Early Access', 'FPS', 'Multiplayer']",2022-08-18,"[{'id': 33, 'name': 'id Software'}]","[{'id': 18, 'name': 'Bethesda Softworks'}]","[{'score': 73, 'source': 'Steam', 'count': 37693, 'url': 'https://store.steampowered.com/app/611500/'}, {'score': 69, 'source': 'Metacritic User Score', 'count': 108, 'url': 'https://metacritic.com/game/quake-champions/user-reviews/?platform=pc'}]","{'rank': 451, 'waitlisted': 549, 'collected': 27939}","{'recent': 416, 'day': 529, 'week': 571, 'peak': 4186}",{'game': 'https://isthereanydeal.com/game/quake-champions/'}
018d937f-3a49-7176-a573-3ec12f775cd5,helldivers-dive-harder-edition,HELLDIVERS™ Dive Harder Edition,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-3a49-7176-a573-3ec12f775cd5/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-3a49-7176-a573-3ec12f775cd5/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-3a49-7176-a573-3ec12f775cd5/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-3a49-7176-a573-3ec12f775cd5/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-3a49-7176-a573-3ec12f775cd5/banner600.jpg'}",False,True,False,394510,"['Online Co-Op', 'Co-op', 'Top-Down Shooter', 'Twin Stick Shooter', 'Local Co-Op']",2015-12-06,"[{'id': 398, 'name': 'Arrowhead Game Studios'}]","[{'id': 226, 'name': 'PlayStation PC LLC'}, {'id': 8225, 'name': 'PlayStation Mobile Inc.'}, {'id': 88916, 'name': 'PlayStation Publishing LLC'}, {'id': 89441, 'name': 'PlayStation Publishing'}]","[{'score': 90, 'source': 'Steam', 'count': 22839, 'url': 'https://store.steampowered.com/app/394510/'}]","{'rank': 2113, 'waitlisted': 3116, 'collected': 7028}","{'recent': 263, 'day': 263, 'week': 320, 'peak': 3312}",{'game': 'https://isthereanydeal.com/game/helldivers-dive-harder-edition/'}
018d937f-2dc7-7313-be22-b5404d99a6c4,slime-rancher,Slime Rancher,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-2dc7-7313-be22-b5404d99a6c4/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-2dc7-7313-be22-b5404d99a6c4/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-2dc7-7313-be22-b5404d99a6c4/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-2dc7-7313-be22-b5404d99a6c4/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-2dc7-7313-be22-b5404d99a6c4/banner600.jpg'}",False,True,True,433340,"['Cute', 'Exploration', 'Adventure', 'Singleplayer', 'Open World']",2017-07-31,"[{'id': 455, 'name': 'Monomi Park'}]","[{'id': 387, 'name': 'Monomi Park, LLC'}, {'id': 455, 'name': 'Monomi Park'}]","[{'score': 97, 'source': 'Steam', 'count': 108714, 'url': 'https://store.steampowered.com/app/433340/'}, {'score': 81, 'source': 'Metascore', 'count': 8, 'url': 'https://metacritic.com/game/slime-rancher/critic-reviews/?platform=pc'}, {'score': 80, 'source': 'Metacritic User Score', 'count': 244, 'url': 'https://metacritic.com/game/slime-rancher/user-reviews/?platform=pc'}, {'score': 76, 'source': 'OpenCritic', 'count': 26, 'url': 'https://opencritic.com/game/4688/slime-rancher'}]","{'rank': 319, 'waitlisted': 6749, 'collected': 18452}","{'recent': 1166, 'day': 1166, 'week': 1596, 'peak': 7070}",{'game': 'https://isthereanydeal.com/game/slime-rancher/'}
018d937f-1624-7008-a279-b8bfb6e55610,max-payne-3,Max Payne 3,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-1624-7008-a279-b8bfb6e55610/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-1624-7008-a279-b8bfb6e55610/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-1624-7008-a279-b8bfb6e55610/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-1624-7008-a279-b8bfb6e55610/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-1624-7008-a279-b8bfb6e55610/banner600.jpg'}",False,True,False,204100,"['Action', 'Third-Person Shooter', 'Bullet Time', 'Story Rich', 'Multiplayer']",2012-05-31,"[{'id': 111, 'name': 'Rockstar Games'}, {'id': 1725, 'name': 'Rockstar Studios'}]","[{'id': 111, 'name': 'Rockstar Games'}, {'id': 6028, 'name': 'TAKE-TWO INTERACTIVE'}]","[{'score': 86, 'source': 'Steam', 'count': 43936, 'url': 'https://store.steampowered.com/app/204100/'}, {'score': 87, 'source': 'Metascore', 'count': 28, 'url': 'https://metacritic.com/game/max-payne-3/critic-reviews/?platform=pc'}, {'score': 79, 'source': 'Metacritic User Score', 'count': 969, 'url': 'https://metacritic.com/game/max-payne-3/user-reviews/?platform=pc'}, {'score': 82, 'source': 'OpenCritic', 'count': 6, 'url': 'https://opencritic.com/game/11698/max-payne-3'}]","{'rank': 278, 'waitlisted': 4642, 'collected': 24400}","{'recent': 274, 'day': 278, 'week': 342, 'peak': 1484}",{'game': 'https://isthereanydeal.com/game/max-payne-3/'}
018d937f-1caf-70bb-ab3c-94639356f36e,age-of-mythology-extended-edition,Age of Mythology: Extended Edition,,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-1caf-70bb-ab3c-94639356f36e/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-1caf-70bb-ab3c-94639356f36e/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-1caf-70bb-ab3c-94639356f36e/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-1caf-70bb-ab3c-94639356f36e/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-1caf-70bb-ab3c-94639356f36e/banner600.jpg'}",False,False,False,266840,"['Strategy', 'Mythology', 'RTS', 'Classic', 'Multiplayer']",2014-05-08,"[{'id': 8772, 'name': 'SkyBox Labs/Ensemble Studios'}, {'id': 573, 'name': 'Ensemble Studios'}, {'id': 6278, 'name': 'Skybox Labs'}]","[{'id': 20, 'name': 'Xbox Game Studios'}, {'id': 23, 'name': 'Microsoft Studios'}]","[{'score': 93, 'source': 'Steam', 'count': 29498, 'url': 'https://store.steampowered.com/app/266840/'}, {'score': 66, 'source': 'Metascore', 'count': 3, 'url': 'https://metacritic.com/game/age-of-mythology-extended-edition/critic-reviews/?platform=pc'}, {'score': 76, 'source': 'Metacritic User Score', 'count': 172, 'url': 'https://metacritic.com/game/age-of-mythology-extended-edition/user-reviews/?platform=pc'}]","{'rank': 873, 'waitlisted': 5871, 'collected': 9478}","{'recent': 2356, 'day': 2410, 'week': 3274, 'peak': 6865}",{'game': 'https://isthereanydeal.com/game/age-of-mythology-extended-edition/'}
018d937f-0403-726b-9cdd-c51bb324a406,the-bureau-xcom-declassified,The Bureau: XCOM Declassified,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-0403-726b-9cdd-c51bb324a406/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-0403-726b-9cdd-c51bb324a406/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-0403-726b-9cdd-c51bb324a406/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-0403-726b-9cdd-c51bb324a406/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-0403-726b-9cdd-c51bb324a406/banner600.jpg'}",False,True,True,65930,"['Action', 'Tactical', 'Sci-fi', 'Third-Person Shooter', 'Singleplayer']",2013-08-16,"[{'id': 3989, 'name': '2K Marin'}]","[{'id': 103, 'name': '2K Games'}, {'id': 513, 'name': '2K'}, {'id': 6028, 'name': 'TAKE-TWO INTERACTIVE'}]","[{'score': 67, 'source': 'Steam', 'count': 4588, 'url': 'https://store.steampowered.com/app/65930/'}, {'score': 66, 'source': 'Metascore', 'count': 16, 'url': 'https://metacritic.com/game/the-bureau-xcom-declassified/critic-reviews/?platform=pc'}, {'score': 65, 'source': 'Metacritic User Score', 'count': 430, 'url': 'https://metacritic.com/game/the-bureau-xcom-declassified/user-reviews/?platform=pc'}]","{'rank': 189, 'waitlisted': 892, 'collected': 37463}","{'recent': 22, 'day': 24, 'week': 27, 'peak': 419}",{'game': 'https://isthereanydeal.com/game/the-bureau-xcom-declassified/'}
018d937f-07c2-7077-bebc-928c09f137d8,deus-ex-mankind-divided,Deus Ex: Mankind Divided,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-07c2-7077-bebc-928c09f137d8/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-07c2-7077-bebc-928c09f137d8/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-07c2-7077-bebc-928c09f137d8/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-07c2-7077-bebc-928c09f137d8/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-07c2-7077-bebc-928c09f137d8/banner600.jpg'}",False,True,True,337000,"['Cyberpunk', 'Stealth', 'RPG', 'Sci-fi', 'Story Rich']",2016-08-22,"[{'id': 1546, 'name': 'Eidos Montreal'}, {'id': 5464, 'name': 'Feral Interactive (Mac)'}, {'id': 5465, 'name': 'Feral Interactive (Linux)'}, {'id': 80920, 'name': 'Eidos Montreal, Feral Interactive (Linux), Feral Interactive (Mac)'}]","[{'id': 15, 'name': 'Eidos Interactive Corp.'}, {'id': 14, 'name': 'Aspyr Media Inc'}, {'id': 1546, 'name': 'Eidos Montreal'}, {'id': 8777, 'name': 'Eidos Interactive Corporation'}, {'id': 5464, 'name': 'Feral Interactive (Mac)'}, {'id': 5465, 'name': 'Feral Interactive (Linux)'}, {'id': 10503, 'name': 'Eidos Interactive Corp., Feral Interactive'}, {'id': 96, 'name': 'Aspyr'}, {'id': 1545, 'name': 'Eidos Interactive'}]","[{'score': 76, 'source': 'Steam', 'count': 28628, 'url': 'https://store.steampowered.com/app/337000/'}, {'score': 83, 'source': 'Metascore', 'count': 48, 'url': 'https://metacritic.com/game/deus-ex-mankind-divided/critic-reviews/?platform=pc'}, {'score': 80, 'source': 'Metacritic User Score', 'count': 1141, 'url': 'https://metacritic.com/game/deus-ex-mankind-divided/user-reviews/?platform=pc'}, {'score': 82, 'source': 'OpenCritic', 'count': 136, 'url': 'https://opencritic.com/game/1812/deus-ex-mankind-divided'}]","{'rank': 109, 'waitlisted': 5572, 'collected': 32361}","{'recent': 289, 'day': 289, 'week': 306, 'peak': 1931}",{'game': 'https://isthereanydeal.com/game/deus-ex-mankind-divided/'}
018d937f-3cd7-718f-bf63-190fd7499310,resident-evil-3,RESIDENT EVIL 3,game,False,"{'boxart': 'https://dbxce1spal1df.cloudfront.net/018d937f-3cd7-718f-bf63-190fd7499310/boxart.jpg', 'banner145': 'https://dbxce1spal1df.cloudfront.net/018d937f-3cd7-718f-bf63-190fd7499310/banner145.jpg', 'banner300': 'https://dbxce1spal1df.cloudfront.net/018d937f-3cd7-718f-bf63-190fd7499310/banner300.jpg', 'banner400': 'https://dbxce1spal1df.cloudfront.net/018d937f-3cd7-718f-bf63-190fd7499310/banner400.jpg', 'banner600': 'https://dbxce1spal1df.cloudfront.net/018d937f-3cd7-718f-bf63-190fd7499310/banner600.jpg'}",False,True,True,952060,"['Action', 'Zombies', 'Horror', 'Female Protagonist', 'Multiplayer']",2000-06-16,"[{'id': 5, 'name': 'Capcom Co., Ltd.'}, {'id': 34, 'name': 'Capcom'}, {'id': 90422, 'name': 'Capcom / GOG'}]","[{'id': 5, 'name': 'Capcom Co., Ltd.'}, {'id': 34, 'name': 'Capcom'}, {'id': 5388, 'name': 'Capcom Japan Inc.'}, {'id': 5736, 'name': 'Capcom Ltd'}, {'id': 935, 'name': 'Capcom (JP)'}]","[{'score': 81, 'source': 'Steam', 'count': 55658, 'url': 'https://store.steampowered.com/app/952060/'}, {'score': 77, 'source': 'Metascore', 'count': 23, 'url': 'https://metacritic.com/game/resident-evil-3/critic-reviews/?platform=pc'}, {'score': 66, 'source': 'Metacritic User Score', 'count': 2467, 'url': 'https://metacritic.com/game/resident-evil-3/user-reviews/?platform=pc'}, {'score': 79, 'source': 'OpenCritic', 'count': 184, 'url': 'https://opencritic.com/game/8746/resident-evil-3'}]","{'rank': 538, 'waitlisted': 7403, 'collected': 10993}","{'recent': 801, 'day': 801, 'week': 820, 'peak': 60023}",{'game': 'https://isthereanydeal.com/game/resident-evil-3/'}
